code,x,y,z,cluster
E31918,-0.47655392,5.356368,-1.2614985,6
S31895,-0.95136595,-0.5635123,2.0842485,51
S33061,6.874858,3.3159633,-4.8970103,0
S32760,0.33363247,0.27001047,0.64101124,13
E33272,0.31780434,0.29832458,0.8362436,13
S32700,-4.1459312,-0.14709568,-0.15155506,26
E32520,-4.7760677,-0.5172334,-1.8389716,9
S31900,0.3028822,1.3900404,6.9149303,58
S31843,-0.64878464,-2.2400646,0.7722788,29
S32092,-4.8712177,0.15255928,-1.6144738,9
S31146,0.2947049,0.12209988,2.713029,4
S33016,-0.9091368,-0.53560257,2.148777,51
E32362,-2.6822667,-5.478307,-2.1093063,23
E32489,-1.0353789,-0.5998125,2.4772286,51
S31151,0.39409065,0.18307114,2.7952452,4
S32215,1.0052376,1.186038,-2.477079,61
S31925,0.92465496,-1.1457677,0.095030785,41
S31875,-3.2780504,1.2676506,-0.39849186,59
S31857,0.9888334,-0.2610216,3.218522,4
E32286,-1.1991229,-2.1863523,0.41620016,36
S32790,-4.134716,-0.09353447,-0.12654305,26
S31286,1.0186167,-0.21889114,3.219576,4
S33240,-1.3169613,4.0650215,0.007843018,17
E32541,8.004206,2.946333,-5.761507,0
S32397,-1.3809757,-1.0923414,1.7388659,51
E32500,-1.2839165,-0.7785177,1.9430022,51
S32201,0.9276705,3.483098,0.2447319,20
E33320,-2.5254488,-0.7224493,0.6969304,37
S32090,-1.7698898,-5.8944826,0.8326435,14
E32292,0.1523838,-1.3966722,-1.957468,16
S32355,-2.608118,-5.3636513,-1.9981613,23
S32661,0.811388,3.5036087,0.26228428,20
S33088,-0.9972372,-0.62827873,2.247809,51
S32606,-1.7905903,-1.3904719,1.6596813,60
E31356,0.24613333,-2.237464,2.2843828,8
E31735,8.401783,2.3190145,-5.814232,0
S32287,1.62673,0.25175858,-0.56442213,43
S31948,-0.41121387,4.1738863,-0.3309636,20
S31858,7.2003107,3.208437,-5.180893,0
E32386,-0.6362333,-2.114439,0.43078136,29
S32013,-1.9409599,-0.744154,-0.12007141,32
